cano_smiles,endpoint,set_split
C[C@@H](NC(=O)[C@H]1CCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.986,valid
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,0.986,valid
CNc1ccc(C=Cc2ccc(OCCOCCOCCF)cc2)cc1,0.985,valid
O=C(c1ccc(F)c(F)c1)N1CCN2C(=O)c3ccccc3C12c1ccc(Cl)cc1,0.985,valid
CN(C)c1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)ccn1,0.985,valid
CCc1cc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)ccc1C,0.984,valid
COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)cc(-c2nc(=O)o[nH]2)c1,0.984,valid
Nc1ccc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,0.984,valid
Fc1ccc(Nc2n[nH]c3cccnc23)cc1Cl,0.983,valid
Cc1ccc(-c2c(C)nn(C)c2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,0.982,valid
COc1ccc(CN2CCN(c3c(NS(=O)(=O)c4c(C)noc4C)c(=O)c3=O)CC2)cc1,0.982,valid
C[C@H](CO)Nc1cc(NS(=O)(=O)c2cn(C)cn2)nc(SCc2cccc(Cl)c2F)n1,0.981,valid
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,0.981,valid
C[C@@H](NC1=CC(=O)CC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.98,valid
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0.98,valid
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.98,valid
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.98,valid
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,0.98,valid
Cn1cnc(S(=O)(=O)N2C[C@H]3[C@@H](C2)[C@]3(CNC(=O)c2cc(Cl)cc(Cl)c2)CC2CC2)c1,0.98,valid
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0.98,valid
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,0.98,valid
O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1cccc(Cl)c1,0.98,valid
COC(=O)c1ccc(-c2cc(Cl)c(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(Cl)c2)cc1,0.98,valid
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.98,valid
COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,0.98,valid
CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)NC1C(=O)Nc2ccccc2-c2ccccc21,0.98,valid
O=C(O)C=C1CN([C@@H](C(=O)C2CC2)c2ccccc2F)CC[C@H]1S,0.98,valid
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3C(CCC34CCC(=O)O4)C12,0.98,valid
O=c1cc(COc2cc(Cl)cc(Cl)c2)[nH][nH]1,0.98,valid
C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,0.979,valid
C[C@@](C(=O)O[C@H]1C[N+]2(Cc3noc(-c4ccccc4)n3)CCC1CC2)(c1cccs1)N1CCCCC1,0.978,valid
C[C@@H](Oc1cc2onc(CCC(=O)O)c2cc1Cl)c1ccccn1,0.978,valid
OCCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,0.977,valid
COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(O)C1C,0.977,valid
COc1cc(-c2cn([C@H]3CCc4c(F)cccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)n1,0.976,valid
